Language,yearsInUS,deportIllegal,Vote,knowUndocumented,TrumpDiscrimination,AgeOrig,Sex1,BornInUS
EN,5,0,Clinton,1,6.9,41-50,Female,NA
EN,5,1,Trump,0,1,51-60,Male,1
EN,5,0,Clinton,1,7,51-60,Female,1
EN,3,0,Clinton,0,NA,41-50,Female,1
EN,5,1,Trump,0,1,31-40,Female,1
EN,5,0,Clinton,0,7,41-50,Female,0
EN,3,0,Other,1,7,18-24,Male,1
EN,4,0,Clinton,1,6.7,25-30,Female,1
EN,3,0,Clinton,1,5,31-40,Female,1
EN,5,0,Clinton,1,7,31-40,Male,0
EN,5,1,Trump,0,3,61+,Female,0
EN,3,0,Trump,1,4.8,25-30,Male,NA
ES,3,0,Did Not Vote,0,7,41-50,Female,0
EN,3,0,Other,1,6,18-24,Female,NA
EN,5,1,Trump,0,1,61+,Female,1
EN,3,1,Clinton,1,3.6,31-40,Male,1
EN,5,0,Clinton,1,5.2,31-40,Male,1
EN,5,1,Clinton,0,3,31-40,Male,1
EN,5,0,Clinton,0,5.8,41-50,Male,1
EN,3,0,Other,1,4.4,18-24,Female,NA
EN,4,1,Clinton,1,7,25-30,Female,1
EN,5,0,Clinton,0,7,61+,Female,1
EN,2,0,Clinton,1,7,31-40,Female,1
EN,5,1,Clinton,0,7,51-60,Female,NA
EN,5,0,Clinton,0,7,31-40,Female,1
ES,3,0,Clinton,1,6.1,25-30,Male,0
EN,4,0,Did Not Vote,1,7,25-30,Female,1
EN,5,1,Did Not Vote,0,7,31-40,Male,1
EN,5,0,Trump,1,3,61+,Female,0
EN,5,1,Did Not Vote,0,NA,31-40,Female,1
EN,4,0,Did Not Vote,1,7,25-30,Female,1
ES,3,0,Trump,1,NA,31-40,Male,0
EN,3,0,Did Not Vote,0,7,18-24,Female,1
EN,4,1,Trump,0,7,61+,Male,0
ES,1,1,Clinton,1,5,18-24,Male,0
EN,4,0,Other,0,NA,25-30,Female,1
EN,5,1,Clinton,1,4.7,51-60,Female,1
EN,1,0,Clinton,1,6.5,18-24,Female,NA
EN,4,1,Trump,0,2.7,25-30,Female,1
EN,3,1,Clinton,1,5.3,18-24,Female,1
EN,5,0,Other,1,7,41-50,Male,NA
EN,3,1,Trump,1,5.2,18-24,Female,1
EN,5,1,Trump,0,1,61+,Female,1
EN,5,1,Trump,0,3.1,61+,Female,1
EN,5,1,Clinton,0,6.9,61+,Male,1
EN,5,0,Clinton,0,5,41-50,Male,1
EN,3,0,Clinton,0,7,18-24,Female,1
ES,1,1,Clinton,0,2.8,31-40,Male,0
EN,4,0,Other,0,5.1,25-30,Female,1
EN,5,0,Clinton,1,6,31-40,Male,1
EN,5,0,Clinton,1,6.1,31-40,Male,1
EN,2,1,Did Not Vote,0,6,31-40,Male,0
ES,2,0,Did Not Vote,0,4.1,31-40,Female,0
EN,5,0,Did Not Vote,0,7,41-50,Male,1
EN,4,0,Clinton,1,7,25-30,Male,1
EN,5,0,Other,1,7,31-40,Male,0
EN,5,0,Clinton,0,7,51-60,Female,1
EN,4,0,Clinton,1,7,25-30,Female,1
EN,5,0,Other,1,6,31-40,Male,1
EN,5,1,Clinton,0,7,51-60,Male,1
EN,5,0,Clinton,1,7,61+,Male,1
EN,5,0,Clinton,0,NA,41-50,Female,1
EN,5,1,Trump,1,1,31-40,Male,1
EN,3,0,Clinton,1,6.5,25-30,Female,1
EN,2,1,Trump,0,5.2,25-30,Male,1
EN,5,0,Clinton,1,7,41-50,Male,1
EN,1,0,Did Not Vote,1,7,18-24,Male,1
EN,2,0,Did Not Vote,1,4.1,25-30,Male,1
ES,3,0,Trump,1,5.3,31-40,Male,0
EN,5,0,Clinton,1,6,31-40,Female,1
EN,5,0,Clinton,0,7,41-50,Male,1
EN,5,0,Clinton,1,7,41-50,Male,1
EN,5,1,Trump,1,1,61+,Male,1
EN,4,1,Trump,1,1,18-24,Female,NA
EN,5,1,Did Not Vote,0,2.5,31-40,Female,1
EN,5,0,Clinton,0,4.7,41-50,Female,1
EN,5,0,Did Not Vote,0,5.1,61+,Female,0
EN,5,0,Did Not Vote,1,4.8,31-40,Male,NA
EN,5,0,Clinton,1,7,31-40,Female,1
EN,5,0,Did Not Vote,0,5.9,31-40,Female,1
EN,3,0,Clinton,0,6,18-24,Female,1
EN,4,0,Clinton,1,5.6,25-30,Male,0
EN,4,1,Did Not Vote,0,1,25-30,Female,1
EN,3,0,Did Not Vote,0,NA,18-24,Female,1
EN,5,1,Clinton,0,5.5,61+,Female,1
EN,3,0,Clinton,1,6.2,18-24,Male,1
EN,3,1,Trump,0,6,18-24,Male,1
EN,5,0,Did Not Vote,0,6.3,41-50,Male,1
EN,5,0,Other,1,7,61+,Male,0
ES,5,0,Clinton,0,4.2,41-50,Female,1
EN,3,0,Clinton,1,6,18-24,NA,1
EN,5,0,Clinton,1,7,61+,Female,1
EN,5,1,Clinton,0,5.1,31-40,Male,1
EN,3,1,Trump,0,4.8,25-30,Male,1
EN,4,0,Clinton,0,5.6,25-30,Male,1
EN,5,0,Clinton,1,7,31-40,Male,1
EN,4,0,Clinton,0,6,18-24,Female,NA
EN,5,1,Trump,1,3,61+,Female,1
EN,5,0,Clinton,1,6.6,31-40,Female,1
EN,1,1,Trump,0,1,31-40,Male,0
EN,4,0,Clinton,0,6.9,25-30,Female,1
EN,5,1,Trump,0,3,31-40,Female,1
ES,3,0,Did Not Vote,1,4.2,31-40,Male,NA
EN,5,0,Clinton,0,5,31-40,Male,1
EN,4,0,Trump,1,4.8,18-24,Male,1
EN,4,1,Trump,1,2,41-50,Male,1
EN,5,0,Clinton,0,7,61+,Male,1
EN,4,0,Did Not Vote,1,6.1,18-24,Female,1
EN,1,1,Trump,NA,NA,NA,Male,0
EN,3,0,Clinton,1,2.4,31-40,Female,NA
EN,5,NA,Clinton,1,6.5,61+,Male,1
EN,5,1,Trump,1,1,61+,Male,0
EN,5,0,Clinton,1,5.3,61+,Male,0
EN,3,1,Did Not Vote,1,5.6,18-24,Male,1
EN,5,0,Clinton,0,7,41-50,Male,1
EN,5,0,Did Not Vote,1,3.8,41-50,Male,1
EN,5,NA,Did Not Vote,0,4,41-50,Female,NA
EN,5,1,Did Not Vote,1,1,51-60,Male,1
EN,5,0,Other,0,5.1,61+,Male,0
EN,5,0,Clinton,0,7,41-50,Female,0
EN,5,1,Trump,1,2,61+,Male,1
EN,5,1,Trump,1,2,61+,Male,1
EN,3,0,Did Not Vote,1,6.1,18-24,Female,1
EN,5,1,Clinton,1,4.1,41-50,Male,1
EN,5,1,Other,1,NA,51-60,Male,1
EN,5,0,Clinton,0,4,31-40,Male,NA
EN,5,NA,Trump,1,4,61+,Female,0
EN,3,0,Did Not Vote,0,NA,18-24,Male,1
EN,5,0,Did Not Vote,0,7,51-60,Female,1
EN,5,1,Clinton,1,5.5,61+,Female,1
EN,5,1,Trump,0,1.3,61+,Male,0
EN,4,0,Clinton,1,6.7,41-50,Female,0
EN,4,0,Clinton,0,7,18-24,Female,1
EN,4,0,Clinton,0,5.2,31-40,Male,NA
EN,5,0,Clinton,0,5,31-40,Female,1
EN,5,1,Trump,0,1.8,31-40,Female,NA
EN,5,1,Other,0,6,41-50,NA,1
EN,3,0,Trump,1,5.5,18-24,NA,1
EN,2,1,Trump,1,7,18-24,Male,1
EN,5,0,Clinton,0,6.2,61+,Male,1
EN,5,1,Trump,0,1,61+,Male,1
EN,5,0,Clinton,1,7,31-40,Female,1
EN,4,1,Trump,1,2.7,31-40,Male,1
EN,3,1,Clinton,1,4.9,18-24,Female,1
EN,4,1,Trump,1,1.5,25-30,Female,1
EN,5,0,Other,1,6.8,61+,Male,1
EN,4,0,Other,1,1.4,25-30,Female,1
EN,3,1,Trump,1,2.9,25-30,Female,1
EN,5,0,Did Not Vote,0,5.9,31-40,Female,1
EN,5,0,Other,1,6.1,61+,Female,0
EN,4,0,Did Not Vote,1,6,25-30,Female,1
EN,5,1,Trump,0,3.2,51-60,Male,1
EN,5,1,Trump,0,6.4,51-60,Female,1
EN,5,1,Trump,0,1,41-50,Female,1
EN,4,0,Other,1,6.3,31-40,Male,0
EN,4,1,Trump,1,4.4,31-40,Female,1
EN,5,1,Trump,1,1,61+,Male,1
EN,5,0,Did Not Vote,0,6.9,31-40,Male,1
EN,4,1,Other,0,4,25-30,Female,1
EN,4,0,Clinton,0,7,25-30,Female,1
EN,3,1,Clinton,0,NA,31-40,Female,0
EN,4,1,Clinton,1,4.8,41-50,Female,1
EN,5,0,Clinton,1,6.1,51-60,Female,1
EN,4,1,Did Not Vote,0,3.1,18-24,Female,1
EN,5,1,Trump,0,1,61+,Male,1
EN,5,1,Trump,1,4,31-40,Female,1
EN,5,0,Clinton,0,7,31-40,Female,1
EN,5,1,Trump,0,2.1,31-40,Female,1
EN,5,0,Trump,0,5.3,31-40,Female,1
EN,3,0,Did Not Vote,0,6.7,18-24,Female,1
EN,3,1,Clinton,1,4.5,41-50,Female,0
EN,3,0,Clinton,0,4.6,18-24,Female,NA
EN,5,0,Other,0,2.1,31-40,Male,1
EN,5,1,Trump,0,2.7,31-40,Female,1
EN,3,0,Did Not Vote,1,6,18-24,Female,1
EN,4,1,Clinton,0,4.9,25-30,Female,1
EN,4,1,Other,0,NA,25-30,Female,1
EN,4,1,Did Not Vote,1,NA,25-30,Female,1
EN,5,1,Did Not Vote,0,3.3,41-50,Male,1
EN,4,1,Clinton,1,1,41-50,Female,0
EN,3,0,Clinton,0,5.1,18-24,Male,1
EN,5,0,Did Not Vote,0,7,31-40,Female,1
EN,2,1,Clinton,1,7,18-24,Female,1
EN,3,0,Clinton,1,3,18-24,Male,NA
EN,5,0,Clinton,0,5.1,41-50,Female,1
EN,5,1,Clinton,0,6,31-40,Female,1
EN,5,1,Trump,1,7,25-30,Male,NA
EN,5,0,NA,1,7,31-40,Male,NA
EN,5,1,Trump,0,1,61+,Male,1
EN,4,NA,Trump,0,4.9,25-30,Male,NA
EN,3,0,Did Not Vote,1,5.2,25-30,Female,NA
EN,2,NA,Clinton,1,5.5,18-24,Male,NA
EN,5,1,Trump,1,1,41-50,Male,1
EN,4,0,Clinton,0,7,25-30,Male,1
EN,3,0,Did Not Vote,1,1.5,18-24,Male,NA
EN,5,1,Did Not Vote,1,4.5,31-40,Female,1
EN,4,0,Clinton,1,5.1,31-40,Male,1
EN,4,1,Other,0,5,25-30,Female,NA
EN,3,0,Trump,1,5.1,18-24,Male,1
EN,3,0,Did Not Vote,1,5.4,25-30,Male,1
EN,5,1,Clinton,1,7,18-24,Male,1
EN,4,0,Clinton,1,7,41-50,Male,1
EN,3,1,Trump,1,7,18-24,Male,1
EN,5,1,Trump,1,1,31-40,Female,1
ES,1,1,Did Not Vote,1,6,25-30,Female,0
EN,5,0,Other,1,3.7,31-40,Male,1
EN,3,0,Clinton,1,6.2,25-30,Male,0
EN,4,0,Clinton,1,7,25-30,Female,1
ES,5,0,Did Not Vote,1,5.6,51-60,Male,1
ES,4,0,Clinton,0,7,31-40,Male,0
EN,5,1,Trump,0,1.2,51-60,Male,1
EN,3,1,Did Not Vote,0,7,18-24,Female,NA
EN,5,0,Clinton,1,6.2,61+,Male,1
EN,5,1,Trump,0,1,51-60,Male,1
ES,3,0,Did Not Vote,1,7,51-60,Male,0
ES,4,0,Clinton,1,7,51-60,Male,0
EN,3,0,Did Not Vote,1,4,18-24,Female,NA
EN,5,0,Clinton,1,6.5,31-40,Female,1
ES,1,0,Did Not Vote,1,7,18-24,Female,1
ES,5,0,Clinton,0,7,31-40,Female,NA
ES,2,NA,Trump,1,5.3,25-30,Male,NA
ES,3,0,Did Not Vote,0,NA,51-60,Male,NA
ES,2,1,Did Not Vote,0,2,61+,Male,0
EN,2,0,Clinton,1,3.6,41-50,Male,0
ES,2,1,Did Not Vote,1,7,31-40,Female,0
EN,5,0,Clinton,1,7,61+,Female,1
EN,5,0,Clinton,0,7,31-40,Female,1
ES,5,0,Did Not Vote,1,5,51-60,Female,1
EN,5,1,Trump,0,1,31-40,Female,NA
ES,2,0,Did Not Vote,1,7,25-30,Male,0
ES,1,0,Did Not Vote,1,7,25-30,Male,0
EN,3,0,Clinton,1,2.8,31-40,Male,1
EN,3,0,Clinton,1,4.4,18-24,Male,NA
EN,5,0,Clinton,1,5,41-50,Male,1
EN,4,1,Did Not Vote,1,NA,25-30,Female,NA
EN,5,0,Clinton,1,7,31-40,Female,1
EN,5,1,Trump,0,NA,61+,Female,1
EN,5,1,Trump,0,7,51-60,Female,0
EN,5,0,Clinton,1,7,25-30,Male,0
EN,5,0,Clinton,0,1.7,31-40,Male,1
EN,5,0,Clinton,0,6.2,31-40,Female,1
EN,4,0,Clinton,0,1.8,25-30,Female,1
EN,2,1,Did Not Vote,0,1,18-24,Female,0
EN,5,0,Clinton,1,6.2,31-40,Female,1
EN,5,1,Clinton,0,7,51-60,Male,NA
EN,5,0,Clinton,0,7,61+,Male,1
EN,4,1,Trump,1,6.3,41-50,Female,0
EN,3,1,Trump,0,6.5,18-24,Female,1
EN,2,0,Other,1,4.7,18-24,Male,1
EN,5,0,Clinton,0,4,41-50,Female,1
EN,5,1,Clinton,0,3.8,61+,Male,0
EN,3,0,Did Not Vote,0,5,18-24,Female,1
EN,5,0,Trump,1,7,31-40,Female,NA
EN,1,1,Clinton,1,3.3,61+,Male,1
EN,5,0,Did Not Vote,1,5.6,31-40,Female,1
EN,5,0,Did Not Vote,1,7,31-40,Female,1
EN,3,0,Other,1,7,18-24,Female,NA
EN,5,0,Clinton,0,3.8,51-60,Female,0
EN,5,0,Other,0,5,41-50,Male,1
EN,3,0,Did Not Vote,0,6.6,18-24,Male,1
EN,5,0,Clinton,1,7,41-50,Male,1
EN,5,1,Did Not Vote,0,5,41-50,Female,1
ES,4,0,Clinton,1,6.2,51-60,Female,0
EN,4,NA,Did Not Vote,1,3,41-50,Female,NA
EN,5,1,Clinton,1,6.6,51-60,Female,1
ES,5,0,Clinton,0,7,61+,Male,0
EN,5,0,Clinton,1,7,51-60,Male,0
EN,5,0,Clinton,1,7,51-60,Male,0
EN,5,0,Trump,1,5.7,31-40,Male,1
EN,5,0,Clinton,1,6,51-60,Female,1
EN,2,0,Clinton,1,7,25-30,Male,0
EN,3,1,Clinton,0,4.1,31-40,Male,1
EN,3,0,Did Not Vote,0,7,18-24,Female,1
EN,2,0,Clinton,1,1,18-24,Male,1
EN,5,0,Clinton,1,7,61+,Male,0
EN,5,1,Trump,0,4.9,41-50,Male,0
EN,4,1,Did Not Vote,0,NA,25-30,Female,1
EN,3,0,Trump,1,5.9,31-40,Male,NA
EN,4,0,Clinton,0,4.5,25-30,Female,1
EN,5,0,Trump,1,6.8,41-50,Male,NA
EN,5,1,Clinton,0,7,41-50,Female,1
ES,5,0,Clinton,1,7,51-60,Female,1
EN,5,0,Other,0,4.6,41-50,Female,0
EN,5,1,Trump,1,1,31-40,Male,1
EN,4,0,Did Not Vote,0,4.5,31-40,Female,0
EN,5,0,Clinton,0,6.8,41-50,Male,1
EN,5,1,Trump,1,1,61+,Male,0
EN,4,0,Did Not Vote,0,7,25-30,Female,1
EN,5,1,Trump,0,NA,61+,Male,1
EN,5,0,Clinton,0,6.3,61+,Female,0
EN,5,0,Clinton,0,7,41-50,Female,1
EN,5,0,Did Not Vote,1,5.1,31-40,Female,1
ES,5,0,Did Not Vote,0,7,51-60,Male,1
EN,5,0,Clinton,1,7,31-40,Female,0
ES,1,0,Did Not Vote,1,7,25-30,Female,0
EN,5,0,Clinton,0,7,51-60,Female,1
EN,1,0,Did Not Vote,1,7,31-40,Male,0
EN,5,0,Clinton,0,6.3,51-60,Female,NA
EN,3,1,Trump,0,2.6,31-40,Male,0
EN,5,0,Clinton,0,7,51-60,Male,1
EN,2,0,Clinton,1,6.1,41-50,Male,1
EN,5,0,Clinton,0,7,31-40,Female,1
EN,3,0,Did Not Vote,0,5.1,18-24,Female,1
EN,4,0,Clinton,1,5.3,41-50,Male,1
EN,5,1,Clinton,0,7,41-50,Male,0
EN,5,0,Other,0,5,31-40,Female,1
ES,1,1,Did Not Vote,1,2,61+,Male,0
EN,1,0,Trump,1,5.9,31-40,Female,1
EN,1,1,Trump,0,5.7,31-40,Female,1
EN,4,0,Clinton,0,5,25-30,Female,1
EN,5,0,Other,0,7,61+,Male,1
EN,5,0,Did Not Vote,0,4,61+,Male,0
EN,5,1,Other,0,7,31-40,Female,1
EN,5,0,Clinton,1,7,41-50,Male,1
EN,2,0,Trump,1,5.3,25-30,Male,1
EN,5,1,Trump,0,4.1,51-60,Female,0
EN,3,0,Other,0,5.8,31-40,Female,0
EN,5,1,Clinton,0,4,61+,Male,1
EN,5,1,Clinton,0,4.4,61+,Female,1
EN,5,0,Clinton,0,7,61+,Male,1
EN,4,0,Clinton,0,7,25-30,Male,1
EN,5,1,Trump,1,1,61+,Male,1
EN,4,0,Clinton,1,6.9,25-30,Female,1
EN,3,0,Clinton,1,7,18-24,Female,0
EN,3,1,Trump,1,7,18-24,Male,1
EN,5,1,Trump,1,1,31-40,Male,1
EN,2,1,Did Not Vote,0,5,31-40,Male,0
EN,2,0,Clinton,1,1.3,18-24,Female,NA
EN,5,1,Clinton,1,7,31-40,Female,1
EN,5,0,Clinton,0,7,41-50,Female,1
EN,5,1,Clinton,0,6,51-60,Female,1
EN,3,1,Clinton,0,3,41-50,Male,0
EN,3,0,Clinton,1,7,25-30,Female,1
EN,2,0,Other,1,4.5,25-30,Male,1
EN,4,1,Did Not Vote,0,5,18-24,Female,NA
EN,5,1,Clinton,1,6.2,31-40,Female,1
EN,4,0,Other,0,NA,61+,Female,1
ES,2,0,Clinton,0,7,31-40,Female,0
EN,4,0,Did Not Vote,1,1,25-30,Female,1
EN,5,1,Clinton,0,6.4,61+,Female,1
EN,2,1,Clinton,1,5.1,25-30,Female,1
EN,4,1,Trump,1,7,25-30,Female,NA
EN,4,0,Clinton,0,7,25-30,Female,1
EN,5,1,Clinton,0,1,31-40,Female,1
EN,5,0,Trump,1,5.8,41-50,Male,1
EN,5,0,Clinton,0,5,41-50,Female,1
EN,5,0,Did Not Vote,0,4.6,31-40,Female,1
EN,4,0,Clinton,1,6.4,31-40,Male,1
EN,4,0,Did Not Vote,1,3.1,18-24,Female,1
EN,4,1,Clinton,1,7,25-30,Female,1
EN,5,0,Clinton,0,7,61+,Female,1
EN,4,1,Trump,0,1.1,25-30,Female,1
EN,3,0,Other,1,4.6,18-24,Female,1
EN,4,1,Trump,0,1,18-24,Female,1
EN,5,1,Did Not Vote,0,6,41-50,Female,1
EN,5,1,Trump,1,7,31-40,Female,1
EN,5,1,Clinton,0,4.9,51-60,Female,1
EN,4,1,Other,1,5,25-30,Male,NA
EN,5,1,Trump,1,1.8,41-50,Female,1
EN,5,1,Did Not Vote,0,1,25-30,Female,1
EN,4,1,Trump,0,5,25-30,Female,1
EN,5,0,Clinton,0,6.1,31-40,Female,1
EN,3,0,Clinton,1,6.3,25-30,Male,1
ES,5,1,Clinton,0,7,61+,Male,NA
EN,5,0,Clinton,0,6.4,31-40,Female,1
EN,5,0,Clinton,1,7,51-60,Female,1
EN,4,1,Trump,1,1,25-30,Female,1
